text,label
"hơi Mình bị loại khỏi đội tuyển, cảm giác thất vọng. khi làm bài tập!",Negative
Mình vừa hoàn thành bài tập về nhà. vào buổi chiều!,Neutral
quá Mình cảm thấy vô cùng hạnh phúc khi được điểm cao trong bài kiểm tra.,Positive
thật sự Mình chuẩn bị sách vở cho buổi học tiếp theo. khi nói chuyện với bạn bè - mình tự nhủ.,Neutral
"hơi Mình không làm được bài kiểm tra, cảm giác bất lực..",Negative
Mình chuẩn bị sách vở cho buổi học tiếp theo.,Neutral
cực kỳ Mình ghi chú lại bài giảng để dễ học hơn. và mình nghĩ sẽ tốt hơn lần sau.,Neutral
Mỗi ngày đến lớp đều cảm thấy áp lực.!,Negative
"hơi Mình vừa bị điểm kém môn Toán, rất buồn. vào buổi sáng :)",Negative
Bố mẹ không hài lòng về kết quả học tập của mình. ở trường (thật bất ngờ).,Negative
Mình vừa học xong một bài mới và hiểu rất rõ.,Positive
"Mình bị mất đồ dùng học tập, cảm giác rất tệ.",Negative
quá Mình vừa nhận được thông báo từ giáo viên. và mình nghĩ sẽ tốt hơn lần sau.,Neutral
Mình vừa hoàn thành bài tập về nhà..,Neutral
"Cả lớp bị phạt vì một lỗi nhỏ, mình thấy bất công. trong kỳ thi và mình nghĩ sẽ tốt hơn lần sau.",Negative
"đặc biệt Mình không làm được bài kiểm tra, cảm giác bất lực. trong lớp học",Negative
rất Thầy cô phê bình làm mình buồn cả ngày. trong lớp học,Negative
"Mình bị điểm danh nhầm, không biết giải thích sao. vào buổi sáng",Negative
"khá Hôm nay mình đi học như thường lệ, không có gì đặc biệt. :)",Neutral
Thầy cô phê bình làm mình buồn cả ngày.!,Negative
"Mình được chọn làm lớp trưởng, cảm giác rất vinh dự. vào buổi sáng (thật bất ngờ).",Positive
cực kỳ Mình chuẩn bị sách vở cho buổi học tiếp theo.!,Neutral
vô cùng Mình cảm thấy thất vọng vì bị điểm kém trong bài kiểm tra. - mình tự nhủ.,Negative
"quá Cả lớp cùng nhau tổ chức tiệc, không khí thật vui vẻ. khi nói chuyện với bạn bè",Positive
"cực kỳ Cả lớp cùng nhau tổ chức tiệc, không khí thật vui vẻ..",Positive
đặc biệt Bạn cùng lớp hỗ trợ nhau học tập rất nhiệt tình.,Positive
Mình vừa nhận được thông báo từ giáo viên. :),Neutral
khá Cảm giác chiến thắng khi vượt qua thử thách lớn. :),Positive
"Mình vừa bị điểm kém môn Toán, rất buồn..",Negative
vô cùng Bạn bè luôn động viên khiến mình tự tin hơn mỗi ngày.,Positive
"Hôm nay mình đi học như thường lệ, không có gì đặc biệt. khi nói chuyện với bạn bè.",Neutral
"Giáo viên giao bài tập mới, mình sẽ làm vào cuối tuần. vào buổi sáng và mình nghĩ sẽ tốt hơn lần sau.",Neutral
Thầy cô phê bình làm mình buồn cả ngày. khi nói chuyện với bạn bè :),Negative
"quá Mình tham gia buổi học nhóm, mọi thứ diễn ra bình thường. (thật bất ngờ).",Neutral
"quá Mình bị điểm danh nhầm, không biết giải thích sao. trong giờ ra chơi :)",Negative
hơi Cảm giác chiến thắng khi vượt qua thử thách lớn. (thật bất ngờ).,Positive
cực kỳ Mỗi ngày đến lớp đều cảm thấy áp lực. và mình nghĩ sẽ tốt hơn lần sau.,Negative
Mình nhận được lời khen từ thầy giáo chủ nhiệm. khi nói chuyện với bạn bè :),Positive
khá Tham gia câu lạc bộ nhưng không ai nói chuyện với mình. trong lớp học :),Negative
"Mình được chọn làm lớp trưởng, cảm giác rất vinh dự. khi làm bài tập!",Positive
khá Mình kiểm tra lại lịch học tuần này.!,Neutral
Mình vừa hoàn thành bài tập về nhà. và mình nghĩ sẽ tốt hơn lần sau.,Neutral
Mình kiểm tra lại lịch học tuần này..,Neutral
đặc biệt Bạn bè luôn động viên khiến mình tự tin hơn mỗi ngày. và mình nghĩ sẽ tốt hơn lần sau.,Positive
cực kỳ Mỗi ngày đến lớp đều cảm thấy áp lực.,Negative
"Mình được chọn làm lớp trưởng, cảm giác rất vinh dự.",Positive
"thật sự Mình tham gia buổi học nhóm, mọi thứ diễn ra bình thường.!",Neutral
